2022_pred,2022_actuals
Gonzaga,Gonzaga
Memphis,Memphis
Connecticut,New Mexico St.
Arkansas,Arkansas
Notre Dame,Notre Dame
Texas Tech,Texas Tech
Davidson,Michigan St.
Duke,Duke
Baylor,Baylor
North Carolina,North Carolina
Saint Mary's,Saint Mary's
UCLA,UCLA
Texas,Texas
Purdue,Purdue
San Francisco,Murray St.
Kentucky,Saint Peter's
Arizona,Arizona
TCU,TCU
Houston,Houston
Illinois,Illinois
Michigan,Michigan
Tennessee,Tennessee
Ohio St.,Ohio St.
Villanova,Villanova
Kansas,Kansas
San Diego St.,Creighton
Iowa,Richmond
Providence,Providence
LSU,Iowa St.
Wisconsin,Wisconsin
Miami (FL),Miami (FL)
Auburn,Auburn
